stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
13,17,IL,2016,21.605268,21.869806,12.740435,10.86874
14,18,IN,1990,19.707432,20.493601,12.031713,9.7851543
14,18,IN,1991,19.781658,20.565559,12.049734,9.8048267
14,18,IN,1992,19.908176,20.592018,12.085959,9.8735952
14,18,IN,1993,19.978615,20.585152,12.106771,9.9150209
14,18,IN,1994,20.025307,20.607069,12.089808,9.9663219
14,18,IN,1995,20.082901,20.611776,12.061445,10.000932
14,18,IN,1996,20.126518,20.660858,12.057352,10.047112
14,18,IN,1997,20.186781,20.713821,12.071003,10.089801
14,18,IN,1998,20.238758,20.767187,12.094694,10.156462
14,18,IN,1999,20.290789,20.820574,12.119202,10.188366
14,18,IN,2000,20.368296,20.887863,12.140066,10.244876
14,18,IN,2001,20.437037,20.930954,12.144835,10.26256
14,18,IN,2002,20.586367,20.855799,12.198343,10.27222
14,18,IN,2003,20.721937,20.947443,12.247306,10.288546
14,18,IN,2004,20.809238,20.981712,12.270722,10.32869
14,18,IN,2005,20.881472,21.0229,12.277933,10.352618
14,18,IN,2006,20.970818,21.028147,12.280015,10.403444
14,18,IN,2007,21.014063,21.045204,12.291888,10.431554
14,18,IN,2008,21.006943,21.088888,12.314196,10.467437
14,18,IN,2009,21.111467,21.162104,12.355298,10.434557
14,18,IN,2010,21.230488,21.149851,12.455258,10.473224
14,18,IN,2011,21.298744,21.128567,12.481148,10.532923
14,18,IN,2012,21.437243,21.113235,12.41722,10.576356
14,18,IN,2013,21.45945,21.118265,12.380073,10.584334
14,18,IN,2014,21.461554,21.185919,12.35603,10.618567
14,18,IN,2015,21.490784,21.172491,12.343806,10.653157
14,18,IN,2016,21.514366,21.22883,12.321667,10.682652
15,19,IA,1990,19.127731,20.021683,11.492611,9.7772436
15,19,IA,1991,19.184752,20.129602,11.520536,9.7938957
15,19,IA,1992,19.243979,20.087255,11.408431,9.8567104
15,19,IA,1993,19.330551,20.162374,11.407353,9.8549795
15,19,IA,1994,19.380415,20.202894,11.453048,9.9367771
15,19,IA,1995,19.416891,20.230934,11.447224,9.9705849
15,19,IA,1996,19.455288,20.282743,11.517256,10.052296
15,19,IA,1997,19.51495,20.323683,11.461874,10.093984
15,19,IA,1998,19.595821,20.373264,11.479431,10.140376
15,19,IA,1999,19.642965,20.419626,11.528464,10.160685
15,19,IA,2000,19.704023,20.467636,11.546264,10.223213
15,19,IA,2001,19.765285,20.500389,11.566893,10.250228
15,19,IA,2002,19.875797,20.419184,11.615788,10.273118
15,19,IA,2003,20.051043,20.398575,11.653209,10.290721
15,19,IA,2004,20.130812,20.354378,11.675589,10.363441
15,19,IA,2005,20.19183,20.359516,11.676208,10.389303
