fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1985,AR,5,246900000,56800000,54746,2282322944,25982,2327046,0,1,AR,1,ARKANSAS,4509.9185,0,17.855047,10.91046,10.165159
1986,AR,5,263000000,56400000,54590,2398159104,27304,2331988,0,1,AR,1,ARKANSAS,4817.7324,0,17.84798,10.907606,10.214788
1987,AR,5,263600000,59700000,55566,2500739072,28435,2342357,0,1,AR,1,ARKANSAS,4743.9082,0,17.904842,10.925326,10.255376
1988,AR,5,280700000,71700000,56056,2665380096,30506,2342655,0,1,AR,1,ARKANSAS,5007.4927,0,18.088001,10.934107,10.325679
1989,AR,5,308300000,81400000,58586,2866227968,32721,2346354,0,1,AR,1,ARKANSAS,5262.3496,0,18.214886,10.978251,10.395772
1990,AR,5,319000000,100000000,61487,2993320960,34458,2356586,0,2,AR,1,ARKANSAS,5188.0884,0,18.420681,11.026581,10.447496
1991,AR,5,331400000,109500000,64911,3172363008,36459,2383144,0,2,AR,1,ARKANSAS,5105.4521,0,18.511435,11.080772,10.503943
1992,AR,5,380100000,122500000,72268,3650885888,39714,2415984,0,2,AR,1,ARKANSAS,5259.5894,0,18.623621,11.188137,10.589459
1993,AR,5,406500000,135200000,74280,3860110080,41648,2456303,0,2,AR,1,ARKANSAS,5472.5361,0,18.722265,11.215597,10.637009
1994,AR,5,412500000,148300000,75473,4118336000,44289,2494019,0,2,AR,1,ARKANSAS,5465.5308,0,18.814747,11.23153,10.698492
1995,AR,5,424493664,153400000,74054,4383356928,47165,2535399,0,2,AR,1,ARKANSAS,5732.2178,0,18.84856,11.21255,10.761407
1996,AR,5,458500000,159800000,76158,4850646016,50048,2572109,0,2,AR,1,ARKANSAS,6020.3789,0,18.889433,11.240565,10.820738
1997,AR,5,482000000,171100000,75019,5120299008,52508,2601090,0,2,AR,1,ARKANSAS,6425.0391,0,18.957758,11.225496,10.868721
1998,AR,5,510000000,189600000,78940,5438433792,55736,2626289,0,2,AR,1,ARKANSAS,6460.603,0,19.060427,11.276443,10.928382
1999,AR,5,548420928,201100000,80603,5641763840,57973,2651860,0,2,AR,1,ARKANSAS,6803.9766,0,19.119312,11.297291,10.967732
2000,AR,5,606628352,138704832,86263,5961334784,60970,2678588,0,3,AR,1,ARKANSAS,7032.312,0,18.747858,11.365156,11.018137
2001,AR,5,618126976,161918640,87337,6297800192,64168,2691571,0,3,AR,1,ARKANSAS,7077.4927,0,18.902605,11.377529,11.06926
2002,AR,5,635740608,207877200,92722,6460854784,65662,2705927,0,3,AR,1,ARKANSAS,6856.416,0,19.152458,11.437361,11.092276
2003,AR,5,616910976,217623664,92508,6319295488,69547,2724816,0,3,AR,1,ARKANSAS,6668.731,0,19.198278,11.43505,11.149758
2004,AR,5,661092416,248421856,96292,6973165056,74033,2749686,0,3,AR,1,ARKANSAS,6865.4966,0,19.330639,11.475141,11.212266
2005,AR,5,655270976,277284000,99231,8053925888,78000,2781097,0,3,AR,1,ARKANSAS,6603.4907,0,19.440554,11.505206,11.264464
2006,AR,5,752020480,304455648,101344,8747018240,83068,2821761,0,3,AR,1,ARKANSAS,7420.4736,0,19.534037,11.526276,11.327415
2007,AR,5,796303616,330964992,103369,9179046912,88508,2848650,0,3,AR,1,ARKANSAS,7703.5049,0,19.617523,11.546061,11.390848
2008,AR,5,879882240,356333632,106206,9405740032,91812,2874554,0,3,AR,1,ARKANSAS,8284.6758,0,19.691378,11.573136,11.427498
2009,AR,5,887321216,408636096,108474,9425428480,90246,2896843,0,3,AR,1,ARKANSAS,8180.0361,0,19.828335,11.594266,11.410295
2010,AR,5,951796416,430593856,118884,9493633024,93291,2921978,0,4,AR,1,ARKANSAS,8006.0933,0,19.880676,11.685904,11.443479
