endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2010,1149,18.19132,17.950195,17.238926,8.8864088,5.6131282,5.4116459
2011,1149,18.283665,18.069115,17.341177,8.883502,5.5254531,5.480639
2012,1149,18.33709,17.869122,17.432274,8.910181,5.5759492,5.484797
2013,1149,18.365158,17.851589,17.447721,8.9029999,5.5834961,5.5872488
2004,1150,18.94672,18.794119,17.954756,10.019446,6.7105231,6.5957804
2006,1150,18.925882,18.78933,18.130903,10.046765,6.6656837,6.5352411
2008,1150,19.210194,18.899317,18.32444,10.055951,6.669498,6.6398759
2009,1150,19.260141,18.560041,18.368174,10.069468,6.6644092,6.5366917
2010,1150,19.162069,18.632576,18.505043,10.060576,6.658011,6.4393506
2011,1150,19.225836,18.722784,18.447363,9.9901237,6.5847912,6.1569791
2012,1150,19.210619,18.425318,18.587587,10.027076,6.5539336,6.3902407
2013,1150,19.226526,18.445978,18.549271,10.009423,6.5102582,6.4068799
2004,1153,19.157925,19.109764,17.413597,10.159563,6.8178306,6.9911771
2006,1153,19.029013,18.892809,18.174204,10.164851,6.689599,6.9275579
2008,1153,19.317455,19.062136,18.325853,10.250087,6.7165947,6.9177055
2009,1153,19.343439,18.721334,18.411238,10.281102,6.7417006,6.9157233
2010,1153,19.264009,18.794647,18.568058,10.195709,6.7238326,6.8405466
2011,1153,19.39974,18.971426,18.769777,10.199733,6.6720328,6.8373327
2012,1153,19.445723,18.599592,18.911108,10.242528,6.7464123,6.880384
2013,1153,19.508963,18.610983,18.909973,10.242136,6.7867169,6.856462
2004,1154,19.112825,18.775015,18.187975,10.068027,6.6883545,6.5736804
2006,1154,19.102118,18.763266,18.36352,10.102707,6.6656837,6.6758232
2008,1154,19.352177,18.934269,18.510099,10.148354,6.753438,6.7464123
2009,1154,19.362352,18.591421,18.565687,10.143921,6.765039,6.6267176
2010,1154,19.24399,18.65374,18.722809,10.124389,6.7546039,6.3261495
2011,1154,19.313004,18.751703,18.755655,10.089718,6.689599,6.5117455
2012,1154,19.33889,18.443165,18.890057,10.102011,6.6795993,6.5778613
2013,1154,19.370152,18.479349,18.893391,10.11237,6.689599,6.7141705
2004,1155,18.988106,18.828579,18.096083,9.9974327,6.6240654,6.7238326
2006,1155,19.036322,18.795536,18.325659,10.064202,6.590301,6.89467
2008,1155,19.355364,18.922235,18.556385,10.153624,6.6320019,7.0317411
2009,1155,19.402222,18.582516,18.648914,10.191219,6.6411819,7.0561752
