STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10428,2,8,-0.1121,3,-8,-8
10429,2,3,-0.8914,1,4,1
10430,2,6,0.6725,5,-8,-8
10431,2,3,-0.43,2,5,1
10432,1,5,-0.5845,2,-8,-8
10433,2,8,-0.0817,3,5,-8
10434,2,2,0.1751,4,3,-7
10435,1,3,-0.3755,2,6,1
10436,2,8,0.494,4,4,3
10437,1,8,1.6709,5,4,2
10438,1,2,-8,-8,5,-4
10439,1,3,-0.43,2,3,2
10440,1,8,0.2028,4,-8,-8
10441,1,7,0.1538,4,4,-8
10442,2,5,-1.2698,1,-7,1
10443,2,3,1.5335,5,4,2
10444,1,8,-0.4907,2,-8,-7
10445,2,8,0.6538,5,4,1
10446,2,5,-0.8685,1,6,-7
10447,1,2,-0.8993,1,4,1
10448,1,8,0.4745,4,4,1
10449,1,8,1.567,5,-7,-7
10450,1,2,-0.9992,1,-8,1
10451,2,5,-1.0941,1,6,2
10452,1,5,-0.3332,3,5,2
10453,1,5,0.4963,4,-8,-8
10454,1,-9,-8,-8,-8,3
10456,1,2,-0.4129,2,4,1
10457,2,8,0.7665,5,-8,3
10458,2,2,-0.0296,3,4,1
10459,1,3,0.0332,3,-7,-7
10460,2,8,-0.8132,1,-7,-7
10461,1,8,-0.1646,3,-7,-7
10463,2,-9,-8,-8,-8,2
10464,2,8,0.0588,4,5,1
10465,1,8,-0.8132,1,5,1
10466,2,8,-0.9262,1,6,2
10467,1,8,-0.3706,2,-7,-7
10468,2,6,-0.15,3,-7,2
10469,1,3,-0.6905,2,-8,-7
10471,1,8,-0.5005,2,6,2
10472,2,8,0.2313,4,-8,-7
10473,1,-9,-8,-8,-8,-8
10474,2,8,0.7433,5,-8,-8
10475,1,8,.6274999999999999,5,4,3
10476,1,5,-0.5354,2,6,-8
10477,1,3,-0.4232,2,-8,-7
10478,2,6,-1.1012,1,6,-7
10480,2,3,-0.7751,1,-7,-7
10481,2,2,0.7785,5,4,1
10483,2,8,0.3681,4,4,1
10484,1,6,-0.0692,3,-7,-8
10485,1,3,-0.4924,2,4,1
10486,2,6,0.9828,5,4,2
10488,2,8,-0.012,3,5,1
10489,2,8,-0.6811,2,-8,1
10490,2,6,-1.1796,1,-8,-7
10491,2,3,-1.1487,1,-8,-8
10492,2,5,0.0478,3,4,1
10493,2,8,-0.3554,2,-8,-8
10494,1,8,1.8918,5,4,1
10495,1,8,-0.8226,1,-8,-8
10496,1,8,0.0829,4,-7,-7
10497,2,8,-0.2082,3,-8,-8
10498,1,8,0.4358,4,5,2
10499,2,8,0.9192,5,4,1
10500,2,8,0.6763,5,6,-7
10501,2,5,-0.4293,2,6,-7
10502,1,8,0.3498,4,-8,-7
10503,2,8,0.5768,5,-8,-8
10504,1,6,0.0391,3,4,-8
10505,1,3,0.3902,4,-8,1
10506,1,8,0.7523,5,6,2
10507,1,3,0.5765,5,-9,-7
10508,2,-9,-8,-8,4,-8
10509,2,8,-0.8952,1,6,-7
10510,2,8,0.5008,4,4,-8
10511,1,5,-0.9069,1,5,-8
10512,2,5,-0.9534,1,3,1
10513,2,5,-0.7751,1,-7,-7
10514,1,3,-1.3682,1,-7,-8
10515,2,8,0.1186,4,3,-8
10516,1,8,0.0557,4,-7,-7
10517,1,3,0.0616,4,6,-8
10518,1,8,-0.5858,2,5,2
10519,1,8,1.1228,5,4,1
10520,2,5,-0.482,2,2,3
10521,1,2,0.8706,5,4,-8
10522,2,-9,-8,-8,-8,-8
10523,1,3,-0.2258,3,-7,1
10524,1,-9,-8,-8,4,2
10525,1,6,0.1986,4,5,1
10526,2,8,-0.9138,1,-8,-8
10527,2,8,-0.2964,3,-7,-8
10528,1,8,0.2883,4,4,3
10529,2,-9,-8,-8,4,-4
10530,1,8,1.5003,5,-8,-8
10531,2,8,-0.3499,2,-7,-7
10532,2,8,-0.8455,1,-7,-8
10533,1,-9,-8,-8,-8,1
10534,2,8,1.2371,5,-7,-7
10535,2,8,.9419999999999999,5,4,1
10536,1,5,-0.5434,2,-8,-8
10537,1,5,-0.2289,3,4,-8
10538,1,-9,-8,-8,-7,1
10540,1,8,1.102,5,6,-8
10541,2,8,-0.7212,1,-7,-8
10542,2,8,-0.9536,1,-7,-7
10543,1,8,0.2128,4,-7,-7
10544,1,5,-1.4203,1,-8,-8
10545,1,8,-0.0471,3,-7,-7
10546,1,8,1.1911,5,4,1
10547,2,8,-0.2783,3,-8,2
10548,2,8,0.3837,4,6,1
10549,2,5,-0.7077,2,-7,-8
10550,1,2,-8,-8,4,-8
10551,1,6,0.3765,4,-8,-8
10552,2,8,0.029,3,-7,-7
10553,2,8,-0.3332,3,4,1
10554,2,5,-1.1012,1,6,3
10555,2,-9,-8,-8,-8,-8
10556,1,8,-0.8725,1,6,-7
10557,2,3,-0.5139,2,-7,-7
10558,2,5,-1.1433,1,6,2
10559,2,8,1.1431,5,4,1
10560,1,8,0.4189,4,4,1
10561,1,8,-0.2033,3,-8,-7
10562,1,3,-0.239,3,6,-4
10563,1,8,0.4149,4,6,3
10564,2,8,1.1667,5,4,1
10565,1,8,-0.3007,3,5,2
10566,1,5,0.3648,4,-8,3
10567,1,5,-0.2881,3,-7,-7
10568,1,8,-8,-8,-7,-7
10569,1,8,-0.482,2,6,1
10570,1,6,-0.1431,3,-8,2
10571,2,8,0.1734,4,3,2
10572,2,8,0.0137,3,5,-7
10573,2,5,-0.7933,1,5,2
10574,2,8,1.591,5,4,-7
10575,1,8,0.3514,4,3,2
10576,2,8,-0.1677,3,4,1
10577,2,-9,-8,-8,-7,-7
10578,2,8,-1.2098,1,-7,-7
10579,1,8,0.1099,4,4,2
10580,1,8,0.1874,4,6,-7
10581,1,8,0.221,4,-8,-8
10582,1,6,0.5911,5,4,1
10583,1,2,-0.0373,3,4,1
10585,1,4,-1.3611,1,-8,-9
10586,1,8,-0.4469,2,-7,-7
10587,2,2,-0.7429,1,-8,-8
10588,1,3,0.8024,5,4,1
10589,2,8,0.2801,4,4,1
10590,1,5,0.1524,4,-8,-8
10591,2,8,0.0414,3,4,1
10592,2,8,0.5941,5,4,-8
10593,2,8,0.6917,5,4,3
10594,2,8,-0.8391,1,4,1
10595,2,5,-0.765,1,-7,-7
10596,2,8,0.421,4,4,3
10597,1,5,-1.183,1,-7,-7
10598,1,8,0.1778,4,4,1
10599,2,8,0.2188,4,1,1
10600,2,8,1.1489,5,-8,-8
10601,2,8,1.0808,5,4,2
10602,1,5,-1.1085,1,-7,2
10603,2,8,1.3586,5,4,1
10604,1,8,.6225000000000001,5,6,1
10605,1,8,-0.2602,3,-8,-7
