academicyr,unitid,cc2010,grantlow
2010,129428,18. Master's L: Master's Colleges and Universities (larger programs),
2010,154235,18. Master's L: Master's Colleges and Universities (larger programs),
2010,127653,18. Master's L: Master's Colleges and Universities (larger programs),
2010,107877,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,166452,18. Master's L: Master's Colleges and Universities (larger programs),
2010,182865,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,117140,17. DRU: Doctoral/Research Universities,
2010,119544,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,166391,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,136288,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,194499,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,113607,18. Master's L: Master's Colleges and Universities (larger programs),
2010,230889,19. Master's M: Master's Colleges and Universities (medium programs),
2010,154855,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,160977,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,123457,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,209922,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,218919,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,150941,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,162928,15. RU/VH: Research Universities (very high research activity),
2010,198303,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,443128,19. Master's M: Master's Colleges and Universities (medium programs),
2010,155973,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,165671,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,445276,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,196680,19. Master's M: Master's Colleges and Universities (medium programs),
2010,106342,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,214272,19. Master's M: Master's Colleges and Universities (medium programs),
2010,207856,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,230038,16. RU/H: Research Universities (high research activity),
2010,218070,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,440484,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,129242,18. Master's L: Master's Colleges and Universities (larger programs),
2010,157076,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,183239,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,220552,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,155414,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,210669,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,107141,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,166850,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,104717,18. Master's L: Master's Colleges and Universities (larger programs),
2010,145646,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,151801,18. Master's L: Master's Colleges and Universities (larger programs),
2010,193973,18. Master's L: Master's Colleges and Universities (larger programs),
2010,167996,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,432199,19. Master's M: Master's Colleges and Universities (medium programs),
2010,204194,19. Master's M: Master's Colleges and Universities (medium programs),
2010,239503,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,218399,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,440536,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,143358,18. Master's L: Master's Colleges and Universities (larger programs),
2010,232265,19. Master's M: Master's Colleges and Universities (medium programs),
2010,442824,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,121071,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,154721,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,140720,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,230816,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,153144,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,229887,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,221351,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,224323,18. Master's L: Master's Colleges and Universities (larger programs),
2010,234173,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,177579,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,240392,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,141167,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,209065,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,115409,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,439163,18. Master's L: Master's Colleges and Universities (larger programs),
2010,232089,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,164085,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,144351,18. Master's L: Master's Colleges and Universities (larger programs),
2010,207971,17. DRU: Doctoral/Research Universities,
2010,154749,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,440147,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,189413,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,145770,17. DRU: Doctoral/Research Universities,
2010,131159,17. DRU: Doctoral/Research Universities,
2010,164571,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,184603,18. Master's L: Master's Colleges and Universities (larger programs),
2010,213543,16. RU/H: Research Universities (high research activity),
2010,240107,18. Master's L: Master's Colleges and Universities (larger programs),
2010,228468,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,215442,18. Master's L: Master's Colleges and Universities (larger programs),
2010,221014,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,260901,18. Master's L: Master's Colleges and Universities (larger programs),
2010,165334,16. RU/H: Research Universities (high research activity),
2010,164562,19. Master's M: Master's Colleges and Universities (medium programs),
2010,231086,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,385619,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,107600,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,212601,18. Master's L: Master's Colleges and Universities (larger programs),
2010,116712,19. Master's M: Master's Colleges and Universities (medium programs),
2010,237358,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,195304,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,195809,17. DRU: Doctoral/Research Universities,
2010,178226,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,101675,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,138336,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,450508,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,111948,18. Master's L: Master's Colleges and Universities (larger programs),
2010,207689,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,214175,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,143288,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,138275,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,239390,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,202763,18. Master's L: Master's Colleges and Universities (larger programs),
2010,193308,20. Master's S: Master's Colleges and Universities (smaller programs),
