State,fy,state_abbrev,fips,lnnetut,lnstateap,lnfte,lnperinc
DELAWARE,2009,DE,10,19.75507,19.312023,10.386438,10.499132
DELAWARE,2010,DE,10,19.871336,19.306589,10.421388,10.51124
DELAWARE,2011,DE,10,19.96409,19.174244,10.452995,10.592276
DELAWARE,2012,DE,10,20.094032,19.177711,10.453688,10.605049
DELAWARE,2013,DE,10,20.142534,19.193068,10.454927,10.620083
DELAWARE,2014,DE,10,20.201584,19.243128,10.481701,10.666348
DELAWARE,2015,DE,10,20.238928,19.23867,10.511676,10.717768
DELAWARE,2016,DE,10,20.272364,19.253614,10.5043,10.737309
DELAWARE,2017,DE,10,20.264534,19.273916,10.478808,10.782887
DELAWARE,2018,DE,10,20.342373,19.283863,10.493299,10.835317
FLORIDA,1980,FL,12,18.658911,20.254541,12.568588,11.511194
FLORIDA,1981,FL,12,18.747103,20.387373,12.609506,11.659024
FLORIDA,1982,FL,12,18.931705,20.497244,12.598419,11.736493
FLORIDA,1983,FL,12,18.957758,20.550102,12.569722,11.835683
FLORIDA,1984,FL,12,18.963005,20.64097,12.571427,11.94398
FLORIDA,1985,FL,12,19.035326,20.703674,12.54804,12.033664
FLORIDA,1986,FL,12,19.097191,20.782007,12.554728,12.112443
FLORIDA,1987,FL,12,19.170681,20.899235,12.583858,12.191897
FLORIDA,1988,FL,12,19.242661,20.999533,12.622622,12.28583
FLORIDA,1989,FL,12,19.332159,21.100536,12.689677,12.393146
FLORIDA,1990,FL,12,19.535166,21.220095,12.763303,12.459051
FLORIDA,1991,FL,12,19.645338,21.245922,12.82535,12.50014
FLORIDA,1992,FL,12,19.859804,21.195829,12.865174,12.557666
FLORIDA,1993,FL,12,19.980719,21.189011,12.877572,12.61617
FLORIDA,1994,FL,12,20.047173,21.248173,12.890482,12.668784
FLORIDA,1995,FL,12,19.981558,21.329056,12.908652,12.741349
FLORIDA,1996,FL,12,19.995113,21.380785,12.914409,12.804653
FLORIDA,1997,FL,12,20.06568,21.469812,12.905304,12.862042
FLORIDA,1998,FL,12,20.170229,21.542297,12.908018,12.938143
FLORIDA,1999,FL,12,20.393082,21.582943,12.888185,12.985824
FLORIDA,2000,FL,12,20.423899,21.70624,12.910202,13.065241
FLORIDA,2001,FL,12,20.521957,21.862688,12.950286,13.11501
FLORIDA,2002,FL,12,20.647655,21.842186,12.999087,13.147667
FLORIDA,2003,FL,12,20.724228,21.897404,13.074546,13.197662
FLORIDA,2004,FL,12,20.515959,21.91786,13.122308,13.282413
FLORIDA,2005,FL,12,20.603016,22.008772,13.131635,13.373133
FLORIDA,2006,FL,12,20.630465,22.0697,13.138093,13.456656
FLORIDA,2007,FL,12,20.64888,22.102289,13.157897,13.497239
FLORIDA,2008,FL,12,20.773281,22.106697,13.200775,13.496873
FLORIDA,2009,FL,12,20.600943,22.136076,13.244515,13.434092
FLORIDA,2010,FL,12,20.914608,22.099073,13.316689,13.494029
FLORIDA,2011,FL,12,21.165768,22.142227,13.363457,13.547153
FLORIDA,2012,FL,12,21.295,22.01053,13.37148,13.58412
FLORIDA,2013,FL,12,21.372374,21.92885,13.336149,13.586632
FLORIDA,2014,FL,12,21.372351,22.090706,13.318302,13.660214
FLORIDA,2015,FL,12,21.385756,22.163059,13.30668,13.727658
FLORIDA,2016,FL,12,21.397734,22.197512,13.302449,13.756249
FLORIDA,2017,FL,12,21.39295,22.235605,13.300163,13.819646
FLORIDA,2018,FL,12,21.257307,22.340223,13.309134,13.879843
GEORGIA,1980,GA,13,18.17222,19.883242,11.964988,10.762001
GEORGIA,1981,GA,13,18.34272,19.998009,11.974922,10.88667
GEORGIA,1982,GA,13,18.474222,20.142017,11.994116,10.965902
GEORGIA,1983,GA,13,18.542013,20.210272,12.029837,11.056904
GEORGIA,1984,GA,13,18.70586,20.254702,12.018024,11.182517
GEORGIA,1985,GA,13,18.764271,20.358271,12.000186,11.27322
GEORGIA,1986,GA,13,18.864084,20.429432,12.026049,11.360311
GEORGIA,1987,GA,13,18.966488,20.492216,12.051248,11.43425
GEORGIA,1988,GA,13,19.113829,20.552597,12.075856,11.520864
GEORGIA,1989,GA,13,19.169735,20.623667,12.099873,11.595602
GEORGIA,1990,GA,13,19.212315,20.706425,12.005516,11.662638
GEORGIA,1991,GA,13,19.301138,20.746298,12.078739,11.710916
GEORGIA,1992,GA,13,19.453154,20.700611,12.171326,11.790398
GEORGIA,1993,GA,13,19.533854,20.768431,12.199199,11.850633
GEORGIA,1994,GA,13,19.614603,20.887762,12.218945,11.924651
GEORGIA,1995,GA,13,19.663681,21.000366,12.246034,12.001186
GEORGIA,1996,GA,13,19.726849,21.087353,12.267953,12.078728
GEORGIA,1997,GA,13,19.848837,21.220581,12.288739,12.14179
GEORGIA,1998,GA,13,19.922756,21.285564,12.311347,12.234184
GEORGIA,1999,GA,13,19.794338,21.166925,12.066069,12.298912
GEORGIA,2000,GA,13,19.530054,21.371796,12.060521,12.377691
GEORGIA,2001,GA,13,19.819035,21.553419,12.367332,12.426095
GEORGIA,2002,GA,13,19.735874,21.559536,12.466766,12.453671
GEORGIA,2003,GA,13,19.627619,21.564964,12.554583,12.489792
GEORGIA,2004,GA,13,19.676718,21.580051,12.575503,12.54348
GEORGIA,2005,GA,13,19.695616,21.62624,12.595937,12.603189
GEORGIA,2006,GA,13,20.002462,21.693161,12.58675,12.668498
GEORGIA,2007,GA,13,20.134956,21.743652,12.604026,12.7133
GEORGIA,2008,GA,13,20.268236,21.808372,12.646773,12.719899
GEORGIA,2009,GA,13,20.287714,21.78471,12.70947,12.699292
GEORGIA,2010,GA,13,20.603231,21.80957,12.823235,12.722686
GEORGIA,2011,GA,13,20.601292,21.807396,12.862595,12.789793
GEORGIA,2012,GA,13,20.980589,21.71999,12.845302,12.818194
