fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
10,DE,DELAWARE,2004,182592016,29546,0
10,DE,DELAWARE,2005,193947638,30541,0
10,DE,DELAWARE,2006,206268466,31269,0
10,DE,DELAWARE,2007,221922783,31269,0
10,DE,DELAWARE,2008,227048530,31619,0
10,DE,DELAWARE,2009,230633155,32417,0
10,DE,DELAWARE,2010,228906260,33570,15873000
10,DE,DELAWARE,2011,198939300,34648,0
10,DE,DELAWARE,2012,201555666,34672,0
10,DE,DELAWARE,2013,202886697,34715,0
10,DE,DELAWARE,2014,216749517,35657,0
10,DE,DELAWARE,2015,215044321,36742,0
10,DE,DELAWARE,2016,219180525,36472,0
10,DE,DELAWARE,2017,224940884,35554,0
10,DE,DELAWARE,2018,227252682,36073,0
10,DE,DELAWARE,2019,237825000,36410,0
10,DE,DELAWARE,2020,264173185,35571,17598285
10,DE,DELAWARE,2021,296272848,36409,45243548
10,DE,DELAWARE,2022,292614276,33946,37473576
10,DE,DELAWARE,2023,265054220,36134,0
10,DE,DELAWARE,2024,274712100,37240,0
12,FL,FLORIDA,1980,504100000,287388,
12,FL,FLORIDA,1981,573100000,299391,
12,FL,FLORIDA,1982,652100000,296090,
12,FL,FLORIDA,1983,690200000,287714,
12,FL,FLORIDA,1984,759600000,288205,
12,FL,FLORIDA,1985,805400000,281543,
12,FL,FLORIDA,1986,865700000,283432,
12,FL,FLORIDA,1987,966800000,291810,
12,FL,FLORIDA,1988,1076700000,303344,
12,FL,FLORIDA,1989,1210800000,324382,
12,FL,FLORIDA,1990,1358700000,349166,
12,FL,FLORIDA,1991,1408000000,371517,
12,FL,FLORIDA,1992,1362300000,386611,
12,FL,FLORIDA,1993,1362000000,391434,
12,FL,FLORIDA,1994,1439200000,396520,
12,FL,FLORIDA,1995,1570000000,403791,
12,FL,FLORIDA,1996,1653100000,406122,
12,FL,FLORIDA,1997,1847100000,402441,
12,FL,FLORIDA,1998,1992100000,403535,
12,FL,FLORIDA,1999,2029400000,395610,
12,FL,FLORIDA,2000,2271458821,404417,
12,FL,FLORIDA,2001,2674601779,420957,0
12,FL,FLORIDA,2002,2623736626,442010,0
12,FL,FLORIDA,2003,2774468127,476654,0
12,FL,FLORIDA,2004,2797348226,499972,0
12,FL,FLORIDA,2005,3163962883,504657,0
12,FL,FLORIDA,2006,3339398274,507927,0
12,FL,FLORIDA,2007,3403649600,518086,0
12,FL,FLORIDA,2008,3427281970,540784,0
12,FL,FLORIDA,2009,3554773837,564963,0
12,FL,FLORIDA,2010,3418837385,607246,292805162
12,FL,FLORIDA,2011,3553665384,636320,350463938
12,FL,FLORIDA,2012,3078166171,641446,0
12,FL,FLORIDA,2013,2790407674,619179,0
12,FL,FLORIDA,2014,3338502730,608226,0
12,FL,FLORIDA,2015,3585844548,601198,0
12,FL,FLORIDA,2016,3736710937,598660,0
12,FL,FLORIDA,2017,3917763966,597279,0
12,FL,FLORIDA,2018,4393719863,602623,0
12,FL,FLORIDA,2019,4690942769,608942,0
12,FL,FLORIDA,2020,4834933590,609447,0
12,FL,FLORIDA,2021,4972731396,595404,24868734
12,FL,FLORIDA,2022,5153282045,567038,21630000
12,FL,FLORIDA,2023,5465090235,561008,0
12,FL,FLORIDA,2024,6436061337,579477,0
13,GA,GEORGIA,1980,349600000,157155,
13,GA,GEORGIA,1981,393800000,158724,
13,GA,GEORGIA,1982,458200000,161800,
13,GA,GEORGIA,1983,492800000,167684,
13,GA,GEORGIA,1984,498900000,165715,
13,GA,GEORGIA,1985,558000000,162785,
13,GA,GEORGIA,1986,600400000,167050,
13,GA,GEORGIA,1987,639700000,171313,
13,GA,GEORGIA,1988,679100000,175581,
13,GA,GEORGIA,1989,730100000,179849,
13,GA,GEORGIA,1990,795000000,163655,
13,GA,GEORGIA,1991,828200000,176088,
13,GA,GEORGIA,1992,787700000,193170,
13,GA,GEORGIA,1993,850700000,198630,
13,GA,GEORGIA,1994,969300000,202591,
13,GA,GEORGIA,1995,1097100000,208154,
13,GA,GEORGIA,1996,1186600000,212767,
13,GA,GEORGIA,1997,1377200000,217236,
13,GA,GEORGIA,1998,1471500000,222203,
13,GA,GEORGIA,1999,1266300000,173871,
13,GA,GEORGIA,2000,1633933294,172909,
13,GA,GEORGIA,2001,1932022408,234998,0
13,GA,GEORGIA,2002,1953117347,259566,0
13,GA,GEORGIA,2003,1982068886,282373,0
13,GA,GEORGIA,2004,2019786761,288475,0
13,GA,GEORGIA,2005,2130921041,295356,0
13,GA,GEORGIA,2006,2299321955,292655,0
13,GA,GEORGIA,2007,2414618903,298512,0
13,GA,GEORGIA,2008,2565174463,311717,0
13,GA,GEORGIA,2009,2488885169,331967,19304452
13,GA,GEORGIA,2010,2600247628,371921,355121875
